파일명,도감번호,이름,학명,과,개화기_초안,희귀도_초안,상태
0161_메리골드.png,161,메리골드,Tagetes erecta,Asteraceae,8~11월,보통,납품됨(4자리로 개명 필요)
0162_만수국.png,162,만수국,Tagetes patula,Asteraceae,,,납품됨(4자리로 개명 필요)
0163_깨꽃.png,163,깨꽃,Salvia splendens,Lamiaceae,,귀함,납품됨(4자리로 개명 필요)
0164_맨드라미.png,164,맨드라미,Celosia cristata,,,,납품됨(4자리로 개명 필요)
0165_제라늄.png,165,제라늄,Pelargonium inquinans,,,,납품됨(4자리로 개명 필요)
0166_임파첸스.png,166,임파첸스,Impatiens walleriana,,,,납품됨(4자리로 개명 필요)
0167_베고니아.png,167,베고니아,Begonia semperflorens,,,,납품됨(4자리로 개명 필요)
0168_버들마편초.png,168,버들마편초,Verbena bonariensis,Verbenaceae,,보통,납품됨(4자리로 개명 필요)
0169_버베나.png,169,버베나,Verbena hybrida,,,,납품됨(4자리로 개명 필요)
0170_수레국화.png,170,수레국화,Centaurea cyanus,Asteraceae,5월,보통,납품됨(4자리로 개명 필요)
0171_안개꽃.png,171,안개꽃,Gypsophila elegans,,,,납품됨(4자리로 개명 필요)
0172_가자니아.png,172,가자니아,Gazania rigens,,,,납품됨(4자리로 개명 필요)
0173_다알리아.png,173,다알리아,Dahlia pinnata,,,,납품됨(4자리로 개명 필요)
0174_글라디올러스.png,174,글라디올러스,Gladiolus hybridus,,,,납품됨(4자리로 개명 필요)
0175_칸나.png,175,칸나,Canna generalis,,,,납품됨(4자리로 개명 필요)
0176_한련화.png,176,한련화,Tropaeolum majus,,,,납품됨(4자리로 개명 필요)
0177_천일홍.png,177,천일홍,Gomphrena globosa,Amaranthaceae,,,납품됨(4자리로 개명 필요)
0178_아게라텀.png,178,아게라텀,Ageratum houstonianum,Asteraceae,,귀함,납품됨(4자리로 개명 필요)
0179_국화.png,179,국화,Chrysanthemum morifolium,,,,납품됨(4자리로 개명 필요)
0180_산국.png,180,산국,Chrysanthemum seticuspe,,,,납품됨(4자리로 개명 필요)
0181_감국.png,181,감국,Chrysanthemum indicum,Asteraceae,9~11월,흔함,납품됨(4자리로 개명 필요)
0182_구절초.png,182,구절초,Chrysanthemum naktongensis,,,,납품됨(4자리로 개명 필요)
0183_벌개미취.png,183,벌개미취,Aster koraiensis,Asteraceae,7~9월,흔함,납품됨(4자리로 개명 필요)
0184_쑥부쟁이.png,184,쑥부쟁이,Aster indicus,Asteraceae,,,납품됨(4자리로 개명 필요)
0185_개미취.png,185,개미취,Aster tataricus,Asteraceae,8~9월,흔함,납품됨(4자리로 개명 필요)
0186_미국쑥부쟁이.png,186,미국쑥부쟁이,Symphyotrichum pilosum,Asteraceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0187_참취.png,187,참취,Aster scaber,Asteraceae,,,납품됨(4자리로 개명 필요)
0188_꽃무릇.png,188,꽃무릇,Lycoris radiata,Amaryllidaceae,9월,보통,납품됨(4자리로 개명 필요)
0189_용담.png,189,용담,Gentiana scabra,Gentianaceae,10월,흔함,납품됨(4자리로 개명 필요)
0190_투구꽃.png,190,투구꽃,Aconitum jaluense,Ranunculaceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0191_마타리.png,191,마타리,Patrinia serratulifolia,,,,납품됨(4자리로 개명 필요)
0192_뚝갈.png,192,뚝갈,Patrinia villosa,Valerianaceae,7~9월,흔함,납품됨(4자리로 개명 필요)
0193_며느리밥풀꽃.png,193,며느리밥풀꽃,Melampyrum roseum,Scrophulariaceae,7~9월,흔함,납품됨(4자리로 개명 필요)
0194_왕고들빼기.png,194,왕고들빼기,Lactuca indica,Asteraceae,8~10월,흔함,납품됨(4자리로 개명 필요)
0195_방가지똥.png,195,방가지똥,Sonchus oleraceus,Asteraceae,,흔함,납품됨(4자리로 개명 필요)
0196_미국가막사리.png,196,미국가막사리,Bidens frondosa,Asteraceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0197_서양등골나물.png,197,서양등골나물,Ageratina altissima,Asteraceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0198_산부추.png,198,산부추,Allium thunbergii,Liliaceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0199_억새.png,199,억새,Miscanthus sinensis,Poaceae,,,납품됨(4자리로 개명 필요)
0200_수크령.png,200,수크령,Pennisetum alopecuroides,Poaceae,,,납품됨(4자리로 개명 필요)
0201_가거양지꽃.png,201,가거양지꽃,Potentilla gageodoensis,Rosaceae,,귀함,미납품
0202_가는개여뀌.png,202,가는개여뀌,Persicaria trigonocarpa,Polygonaceae,,보통,미납품
0203_가는괴불주머니.png,203,가는괴불주머니,Corydalis raddeana,Fumariaceae,,보통,미납품
0204_가는금불초.png,204,가는금불초,Inula linariifolia,Asteraceae,,보통,미납품
0205_가는기름나물.png,205,가는기름나물,Kitagawia komarovii,Apiaceae,,보통,미납품
0206_가는기린초.png,206,가는기린초,Phedimus aizoon,Crassulaceae,5~8월,흔함,미납품
0207_가는끈끈이장구채.png,207,가는끈끈이장구채,Silene antirrhina,Caryophyllaceae,,보통,미납품
0208_가는네잎갈퀴.png,208,가는네잎갈퀴,Galium trifidum,Rubiaceae,,보통,미납품
0209_가는다리장구채.png,209,가는다리장구채,Silene jeniseensis,Caryophyllaceae,,보통,미납품
0210_가는대나물.png,210,가는대나물,Gypsophila pacifica,Caryophyllaceae,,보통,미납품
0211_가는돌쩌귀.png,211,가는돌쩌귀,Aconitum villosum,Ranunculaceae,,보통,미납품
0212_가는등갈퀴.png,212,가는등갈퀴,Vicia tenuifolia,Fabaceae,,보통,미납품
0213_가는마디꽃.png,213,가는마디꽃,Rotala mexicana,Lythraceae,8~10월,보통,미납품
0214_가는바디.png,214,가는바디,Ostericum maximowiczii,Apiaceae,,보통,미납품
0215_가는산부추.png,215,가는산부추,Allium splendens,Liliaceae,,귀함,미납품
0216_가는쑥부지깽이.png,216,가는쑥부지깽이,Erysimum macilentum,Brassicaceae,,귀함,미납품
0217_가는잎가시상추.png,217,가는잎가시상추,Lactuca saligna,Asteraceae,,귀함,미납품
0218_가는잎개별꽃.png,218,가는잎개별꽃,Pseudostellaria sylvatica,Caryophyllaceae,,보통,미납품
